answer,method,reference_winner,staged_winner,same_candidate,reference_band,staged_band,same_band,adjacent_band,reference_regular_mean,staged_regular_mean,mean_delta,selection_regret_percentile
ACCESSIBLE,hybrid_regular_cheap,acdfe13a,acdfe13a,true,middle,middle,true,true,83.612,83.612,0,0
ACCOUNTING,low_mean,d319248d,a060de06,false,middle,middle,true,true,82.626,82.58,-0.04600000000000648,0
ACCOUNTING,low_median,d319248d,f26db3c1,false,middle,middle,true,true,82.626,83.078,0.4519999999999982,0
ACCOUNTING,low_gold,d319248d,d319248d,true,middle,middle,true,true,82.626,82.626,0,0
ACCOUNTING,band_aware,d319248d,a060de06,false,middle,middle,true,true,82.626,82.58,-0.04600000000000648,0
ACCOUNTING,confidence_aware,d319248d,a060de06,false,middle,middle,true,true,82.626,82.58,-0.04600000000000648,0
ACCOUNTING,hybrid_regular_cheap,d319248d,a060de06,false,middle,middle,true,true,82.626,82.58,-0.04600000000000648,0
ADVENTURES,low_mean,7e10135e,7e10135e,true,middle,middle,true,true,83.752,83.752,0,0
ADVENTURES,low_median,7e10135e,7c76165a,false,middle,middle,true,true,83.752,83.686,-0.06599999999998829,0
ADVENTURES,low_gold,7e10135e,7c76165a,false,middle,middle,true,true,83.752,83.686,-0.06599999999998829,0
ADVENTURES,band_aware,7e10135e,7e10135e,true,middle,middle,true,true,83.752,83.752,0,0
ADVENTURES,confidence_aware,7e10135e,7e10135e,true,middle,middle,true,true,83.752,83.752,0,0
ADVENTURES,hybrid_regular_cheap,7e10135e,7e10135e,true,middle,middle,true,true,83.752,83.752,0,0
AGGRAVATED,low_mean,7a572bc7,359bef23,false,middle,middle,true,true,82.002,81.92,-0.08199999999999363,0
AGGRAVATED,low_median,7a572bc7,359bef23,false,middle,middle,true,true,82.002,81.92,-0.08199999999999363,0
AGGRAVATED,low_gold,7a572bc7,585a9569,false,middle,easier,false,true,82.002,82.774,0.7720000000000056,0
AGGRAVATED,band_aware,7a572bc7,359bef23,false,middle,middle,true,true,82.002,81.92,-0.08199999999999363,0
AGGRAVATED,confidence_aware,7a572bc7,359bef23,false,middle,middle,true,true,82.002,81.92,-0.08199999999999363,0
AGGRAVATED,hybrid_regular_cheap,7a572bc7,359bef23,false,middle,middle,true,true,82.002,81.92,-0.08199999999999363,0
AFTERTASTE,low_mean,5484c7c7,eaad1e51,false,middle,middle,true,true,82.68,82.98,0.29999999999999716,0
AFTERTASTE,low_median,5484c7c7,66f4f81d,false,middle,harder,false,true,82.68,81.956,-0.7240000000000038,0
AFTERTASTE,low_gold,5484c7c7,72119b9b,false,middle,middle,true,true,82.68,82.524,-0.1560000000000059,0
AFTERTASTE,band_aware,5484c7c7,eaad1e51,false,middle,middle,true,true,82.68,82.98,0.29999999999999716,0
AFTERTASTE,confidence_aware,5484c7c7,eaad1e51,false,middle,middle,true,true,82.68,82.98,0.29999999999999716,0
AFTERTASTE,hybrid_regular_cheap,5484c7c7,eaad1e51,false,middle,middle,true,true,82.68,82.98,0.29999999999999716,0
AFFORDABLE,low_mean,c7186004,9754f439,false,middle,middle,true,true,84.53,84.238,-0.2920000000000016,0
AFFORDABLE,low_median,c7186004,9754f439,false,middle,middle,true,true,84.53,84.238,-0.2920000000000016,0
AFFORDABLE,low_gold,c7186004,ae7146ea,false,middle,middle,true,true,84.53,84.896,0.36599999999999966,0
AFFORDABLE,band_aware,c7186004,9754f439,false,middle,middle,true,true,84.53,84.238,-0.2920000000000016,0
AFFORDABLE,confidence_aware,c7186004,9754f439,false,middle,middle,true,true,84.53,84.238,-0.2920000000000016,0
AFFORDABLE,hybrid_regular_cheap,c7186004,9754f439,false,middle,middle,true,true,84.53,84.238,-0.2920000000000016,0
ABATEMENTS,low_mean,acfba26d,acfba26d,true,middle,middle,true,true,83.172,83.172,0,0
ABATEMENTS,low_median,acfba26d,acfba26d,true,middle,middle,true,true,83.172,83.172,0,0
ABATEMENTS,low_gold,acfba26d,acfba26d,true,middle,middle,true,true,83.172,83.172,0,0
ABATEMENTS,band_aware,acfba26d,acfba26d,true,middle,middle,true,true,83.172,83.172,0,0
ABATEMENTS,confidence_aware,acfba26d,acfba26d,true,middle,middle,true,true,83.172,83.172,0,0
ABATEMENTS,hybrid_regular_cheap,acfba26d,acfba26d,true,middle,middle,true,true,83.172,83.172,0,0
ABDICATING,low_mean,6b0594cc,1a2cbe10,false,middle,middle,true,true,83.824,83.872,0.04800000000000182,0
ABDICATING,low_median,6b0594cc,6b0594cc,true,middle,middle,true,true,83.824,83.824,0,0
ABDICATING,low_gold,6b0594cc,862791d7,false,middle,middle,true,true,83.824,83.75,-0.07399999999999807,0
ABDICATING,band_aware,6b0594cc,1a2cbe10,false,middle,middle,true,true,83.824,83.872,0.04800000000000182,0
ABDICATING,confidence_aware,6b0594cc,1a2cbe10,false,middle,middle,true,true,83.824,83.872,0.04800000000000182,0
ABDICATING,hybrid_regular_cheap,6b0594cc,1a2cbe10,false,middle,middle,true,true,83.824,83.872,0.04800000000000182,0
ABDUCTIONS,low_mean,ac110312,d474a71a,false,middle,middle,true,true,82.148,82.63,0.4819999999999993,0
ABDUCTIONS,low_median,ac110312,11cc2b11,false,middle,middle,true,true,82.148,81.966,-0.18200000000000216,0
ABDUCTIONS,low_gold,ac110312,d474a71a,false,middle,middle,true,true,82.148,82.63,0.4819999999999993,0
ABDUCTIONS,band_aware,ac110312,d474a71a,false,middle,middle,true,true,82.148,82.63,0.4819999999999993,0
ABDUCTIONS,confidence_aware,ac110312,d474a71a,false,middle,middle,true,true,82.148,82.63,0.4819999999999993,0
ABDUCTIONS,hybrid_regular_cheap,ac110312,d474a71a,false,middle,middle,true,true,82.148,82.63,0.4819999999999993,0
ABHORRENCE,low_mean,e8412e78,63fc590e,false,middle,middle,true,true,81.994,81.87,-0.12399999999999523,0
ABHORRENCE,low_median,e8412e78,63fc590e,false,middle,middle,true,true,81.994,81.87,-0.12399999999999523,0
ABHORRENCE,low_gold,e8412e78,63fc590e,false,middle,middle,true,true,81.994,81.87,-0.12399999999999523,0
ABHORRENCE,band_aware,e8412e78,63fc590e,false,middle,middle,true,true,81.994,81.87,-0.12399999999999523,0
ABHORRENCE,confidence_aware,e8412e78,63fc590e,false,middle,middle,true,true,81.994,81.87,-0.12399999999999523,0
ABHORRENCE,hybrid_regular_cheap,e8412e78,63fc590e,false,middle,middle,true,true,81.994,81.87,-0.12399999999999523,0
ABOLISHING,low_mean,46d61ad3,46d61ad3,true,middle,middle,true,true,82.948,82.948,0,0
ABOLISHING,low_median,46d61ad3,85061c06,false,middle,easier,false,true,82.948,84.21,1.2620000000000005,0
ABOLISHING,low_gold,46d61ad3,46d61ad3,true,middle,middle,true,true,82.948,82.948,0,0
ABOLISHING,band_aware,46d61ad3,46d61ad3,true,middle,middle,true,true,82.948,82.948,0,0
ABOLISHING,confidence_aware,46d61ad3,46d61ad3,true,middle,middle,true,true,82.948,82.948,0,0
ABOLISHING,hybrid_regular_cheap,46d61ad3,46d61ad3,true,middle,middle,true,true,82.948,82.948,0,0
ABROGATING,low_mean,99f11e4e,99f11e4e,true,middle,middle,true,true,81.858,81.858,0,0
ABROGATING,low_median,99f11e4e,99f11e4e,true,middle,middle,true,true,81.858,81.858,0,0
ABROGATING,low_gold,99f11e4e,da4990e4,false,middle,middle,true,true,81.858,81.67,-0.1880000000000024,0
ABROGATING,band_aware,99f11e4e,99f11e4e,true,middle,middle,true,true,81.858,81.858,0,0
ABROGATING,confidence_aware,99f11e4e,99f11e4e,true,middle,middle,true,true,81.858,81.858,0,0
ABROGATING,hybrid_regular_cheap,99f11e4e,99f11e4e,true,middle,middle,true,true,81.858,81.858,0,0
ABSOLUTISM,low_mean,908adc36,438a008f,false,middle,middle,true,true,81.73,81.646,-0.08400000000000318,0
ABSOLUTISM,low_median,908adc36,438a008f,false,middle,middle,true,true,81.73,81.646,-0.08400000000000318,0
ABSOLUTISM,low_gold,908adc36,438a008f,false,middle,middle,true,true,81.73,81.646,-0.08400000000000318,0
ABSOLUTISM,band_aware,908adc36,438a008f,false,middle,middle,true,true,81.73,81.646,-0.08400000000000318,0
ABSOLUTISM,confidence_aware,908adc36,438a008f,false,middle,middle,true,true,81.73,81.646,-0.08400000000000318,0
ABSOLUTISM,hybrid_regular_cheap,908adc36,438a008f,false,middle,middle,true,true,81.73,81.646,-0.08400000000000318,0
ABSOLUTIST,low_mean,558fe621,f369217f,false,middle,harder,false,true,82.472,81.542,-0.9299999999999926,0
ABSOLUTIST,low_median,558fe621,c0b732a,false,middle,middle,true,true,82.472,82.58,0.10800000000000409,0
ABSOLUTIST,low_gold,558fe621,f369217f,false,middle,harder,false,true,82.472,81.542,-0.9299999999999926,0
ABSOLUTIST,band_aware,558fe621,f369217f,false,middle,harder,false,true,82.472,81.542,-0.9299999999999926,0
ABSOLUTIST,confidence_aware,558fe621,f369217f,false,middle,harder,false,true,82.472,81.542,-0.9299999999999926,0
ABSOLUTIST,hybrid_regular_cheap,558fe621,f369217f,false,middle,harder,false,true,82.472,81.542,-0.9299999999999926,0
ABSORPTION,low_mean,ddb211c8,46ed8aa3,false,middle,middle,true,true,83.268,83.074,-0.19400000000000261,0
ABSORPTION,low_median,ddb211c8,f125a7bc,false,middle,easier,false,true,83.268,84.068,0.7999999999999972,0
ABSORPTION,low_gold,ddb211c8,e61396de,false,middle,harder,false,true,83.268,82.428,-0.8400000000000034,0
ABSORPTION,band_aware,ddb211c8,46ed8aa3,false,middle,middle,true,true,83.268,83.074,-0.19400000000000261,0
ABSORPTION,confidence_aware,ddb211c8,46ed8aa3,false,middle,middle,true,true,83.268,83.074,-0.19400000000000261,0
ABSORPTION,hybrid_regular_cheap,ddb211c8,46ed8aa3,false,middle,middle,true,true,83.268,83.074,-0.19400000000000261,0
ABSTAINING,low_mean,103386a6,23c24b3f,false,middle,middle,true,true,82.74,81.948,-0.7920000000000016,0
ABSTAINING,low_median,103386a6,23c24b3f,false,middle,middle,true,true,82.74,81.948,-0.7920000000000016,0
ABSTAINING,low_gold,103386a6,103386a6,true,middle,middle,true,true,82.74,82.74,0,0
ABSTAINING,band_aware,103386a6,23c24b3f,false,middle,middle,true,true,82.74,81.948,-0.7920000000000016,0
ABSTAINING,confidence_aware,103386a6,23c24b3f,false,middle,middle,true,true,82.74,81.948,-0.7920000000000016,0
ABSTAINING,hybrid_regular_cheap,103386a6,23c24b3f,false,middle,middle,true,true,82.74,81.948,-0.7920000000000016,0
ABSTENTION,low_mean,fd58345b,188e3274,false,middle,easier,false,true,83.014,83.37,0.35600000000000875,0
ABSTENTION,low_median,fd58345b,188e3274,false,middle,easier,false,true,83.014,83.37,0.35600000000000875,0
ABSTENTION,low_gold,fd58345b,16870729,false,middle,middle,true,true,83.014,81.588,-1.426000000000002,0
ABSTENTION,band_aware,fd58345b,188e3274,false,middle,easier,false,true,83.014,83.37,0.35600000000000875,0
ABSTENTION,confidence_aware,fd58345b,188e3274,false,middle,easier,false,true,83.014,83.37,0.35600000000000875,0
ABSTENTION,hybrid_regular_cheap,fd58345b,188e3274,false,middle,easier,false,true,83.014,83.37,0.35600000000000875,0
ABSTINENCE,low_mean,8744fe01,8744fe01,true,middle,middle,true,true,80.804,80.804,0,0
ABSTINENCE,low_median,8744fe01,6aa7170,false,middle,middle,true,true,80.804,80.554,-0.25,0
ABSTINENCE,low_gold,8744fe01,9f63772c,false,middle,harder,false,true,80.804,79.742,-1.0619999999999976,0
ABSTINENCE,band_aware,8744fe01,8744fe01,true,middle,middle,true,true,80.804,80.804,0,0
ABSTINENCE,confidence_aware,8744fe01,8744fe01,true,middle,middle,true,true,80.804,80.804,0,0
ABSTINENCE,hybrid_regular_cheap,8744fe01,8744fe01,true,middle,middle,true,true,80.804,80.804,0,0
ABYSSINIAN,low_mean,c4ffadfa,c4ffadfa,true,middle,middle,true,true,82.532,82.532,0,0
ABYSSINIAN,low_median,c4ffadfa,c4ffadfa,true,middle,middle,true,true,82.532,82.532,0,0
ABYSSINIAN,low_gold,c4ffadfa,478ce967,false,middle,middle,true,true,82.532,80.638,-1.8939999999999912,0
ABYSSINIAN,band_aware,c4ffadfa,c4ffadfa,true,middle,middle,true,true,82.532,82.532,0,0
ABYSSINIAN,confidence_aware,c4ffadfa,c4ffadfa,true,middle,middle,true,true,82.532,82.532,0,0
ABYSSINIAN,hybrid_regular_cheap,c4ffadfa,c4ffadfa,true,middle,middle,true,true,82.532,82.532,0,0
ACCELERANT,low_mean,783c9f37,547ebda4,false,middle,middle,true,true,82.052,81.076,-0.9760000000000133,0
ACCELERANT,low_median,783c9f37,90ad7842,false,middle,harder,false,true,82.052,81.018,-1.034000000000006,0
ACCELERANT,low_gold,783c9f37,547ebda4,false,middle,middle,true,true,82.052,81.076,-0.9760000000000133,0
ACCELERANT,band_aware,783c9f37,547ebda4,false,middle,middle,true,true,82.052,81.076,-0.9760000000000133,0
ACCELERANT,confidence_aware,783c9f37,547ebda4,false,middle,middle,true,true,82.052,81.076,-0.9760000000000133,0
ACCELERANT,hybrid_regular_cheap,783c9f37,547ebda4,false,middle,middle,true,true,82.052,81.076,-0.9760000000000133,0
ACCEPTABLE,low_mean,63c707a7,a8c2dc9,false,middle,harder,false,true,83.308,81.79,-1.5180000000000007,0
ACCEPTABLE,low_median,63c707a7,55328903,false,middle,middle,true,true,83.308,83.312,0.003999999999990678,0
ACCEPTABLE,low_gold,63c707a7,55328903,false,middle,middle,true,true,83.308,83.312,0.003999999999990678,0
ACCEPTABLE,band_aware,63c707a7,a8c2dc9,false,middle,harder,false,true,83.308,81.79,-1.5180000000000007,0
ACCEPTABLE,confidence_aware,63c707a7,a8c2dc9,false,middle,harder,false,true,83.308,81.79,-1.5180000000000007,0
ACCEPTABLE,hybrid_regular_cheap,63c707a7,a8c2dc9,false,middle,harder,false,true,83.308,81.79,-1.5180000000000007,0
ACCIDENTAL,low_mean,8500a698,8bc152ff,false,middle,easier,false,true,81.866,82.018,0.15200000000000102,0
ACCIDENTAL,low_median,8500a698,201e3ecc,false,middle,middle,true,true,81.866,81.806,-0.060000000000002274,0
ACCIDENTAL,low_gold,8500a698,201e3ecc,false,middle,middle,true,true,81.866,81.806,-0.060000000000002274,0
ACCIDENTAL,band_aware,8500a698,8bc152ff,false,middle,easier,false,true,81.866,82.018,0.15200000000000102,0
ACCIDENTAL,confidence_aware,8500a698,8bc152ff,false,middle,easier,false,true,81.866,82.018,0.15200000000000102,0
ACCIDENTAL,hybrid_regular_cheap,8500a698,8bc152ff,false,middle,easier,false,true,81.866,82.018,0.15200000000000102,0
ACCLAIMING,low_mean,c91b8096,c91b8096,true,middle,middle,true,true,82.308,82.308,0,0
ACCLAIMING,low_median,c91b8096,1d47040,false,middle,middle,true,true,82.308,82.018,-0.29000000000000625,0
ACCLAIMING,low_gold,c91b8096,1458df25,false,middle,easier,false,true,82.308,83.462,1.1539999999999964,0
ACCLAIMING,band_aware,c91b8096,c91b8096,true,middle,middle,true,true,82.308,82.308,0,0
ACCLAIMING,confidence_aware,c91b8096,c91b8096,true,middle,middle,true,true,82.308,82.308,0,0
ACCLAIMING,hybrid_regular_cheap,c91b8096,c91b8096,true,middle,middle,true,true,82.308,82.308,0,0
ACCLIMATED,low_mean,4c6d9eae,2614be90,false,middle,harder,false,true,81.316,80.776,-0.5400000000000063,0
ACCLIMATED,low_median,4c6d9eae,2614be90,false,middle,harder,false,true,81.316,80.776,-0.5400000000000063,0
ACCLIMATED,low_gold,4c6d9eae,2614be90,false,middle,harder,false,true,81.316,80.776,-0.5400000000000063,0
ACCLIMATED,band_aware,4c6d9eae,2614be90,false,middle,harder,false,true,81.316,80.776,-0.5400000000000063,0
ACCLIMATED,confidence_aware,4c6d9eae,2614be90,false,middle,harder,false,true,81.316,80.776,-0.5400000000000063,0
ACCLIMATED,hybrid_regular_cheap,4c6d9eae,2614be90,false,middle,harder,false,true,81.316,80.776,-0.5400000000000063,0
ACCORDIONS,low_mean,a5cd1c65,a2c19dda,false,middle,easier,false,true,82.598,83.698,1.0999999999999943,0
ACCORDIONS,low_median,a5cd1c65,49f0cb47,false,middle,middle,true,true,82.598,83.254,0.6560000000000059,0
ACCORDIONS,low_gold,a5cd1c65,9bfa15c8,false,middle,easier,false,true,82.598,83.294,0.695999999999998,0
ACCORDIONS,band_aware,a5cd1c65,a2c19dda,false,middle,easier,false,true,82.598,83.698,1.0999999999999943,0
ACCORDIONS,confidence_aware,a5cd1c65,a2c19dda,false,middle,easier,false,true,82.598,83.698,1.0999999999999943,0
ACCORDIONS,hybrid_regular_cheap,a5cd1c65,a2c19dda,false,middle,easier,false,true,82.598,83.698,1.0999999999999943,0
ACCOUNTANT,low_mean,f235ebe9,663bccc8,false,middle,harder,false,true,82.212,81.796,-0.4159999999999968,0
ACCOUNTANT,low_median,f235ebe9,663bccc8,false,middle,harder,false,true,82.212,81.796,-0.4159999999999968,0
ACCOUNTANT,low_gold,f235ebe9,f235ebe9,true,middle,middle,true,true,82.212,82.212,0,0
ACCOUNTANT,band_aware,f235ebe9,663bccc8,false,middle,harder,false,true,82.212,81.796,-0.4159999999999968,0
ACCOUNTANT,confidence_aware,f235ebe9,663bccc8,false,middle,harder,false,true,82.212,81.796,-0.4159999999999968,0
ACCOUNTANT,hybrid_regular_cheap,f235ebe9,663bccc8,false,middle,harder,false,true,82.212,81.796,-0.4159999999999968,0
