puzzle,player_model,accessibility_system,threshold,rare_word_dependency_rate,familiarity_source,source_version,source_package_version,source_revision,normalization_version,fallback_used
AGGRAVATED,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9333333333333333,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.39955357142857145,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,STRONG,M8_HEURISTIC_BASELINE,0.5,0.5513078470824949,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.3687374749498998,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9433962264150944,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.28832951945080093,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,STRONG,M8_HEURISTIC_BASELINE,0.5,0.3687374749498998,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.216,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,CASUAL,M8_HEURISTIC_BASELINE,0.5,0.9823529411764705,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,REGULAR,M8_HEURISTIC_BASELINE,0.5,0.2854122621564482,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,STRONG,M8_HEURISTIC_BASELINE,0.5,0.28714859437751006,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,EXPERT,M8_HEURISTIC_BASELINE,0.5,0.172,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,ORACLE,M8_HEURISTIC_BASELINE,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,STRONG,M81_FREQUENCY_MODEL,0.5,0.9907407407407407,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,EXPERT,M81_FREQUENCY_MODEL,0.5,0.8168498168498168,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
WATERMELON,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,EXPERT,M81_FREQUENCY_MODEL,0.5,0.8323699421965318,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
OSCILLATED,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,EXPERT,M81_FREQUENCY_MODEL,0.5,0.6035805626598465,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABANDONING,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,EXPERT,M81_FREQUENCY_MODEL,0.5,0.8303571428571429,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ABSOLUTELY,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,EXPERT,M81_FREQUENCY_MODEL,0.5,0.8443579766536965,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCESSIBLE,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,EXPERT,M81_FREQUENCY_MODEL,0.5,0.8019323671497585,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ACCOUNTING,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,EXPERT,M81_FREQUENCY_MODEL,0.5,0.8926553672316384,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
ADVENTURES,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,EXPERT,M81_FREQUENCY_MODEL,0.5,0.6676923076923077,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AGGRAVATED,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,STRONG,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,EXPERT,M81_FREQUENCY_MODEL,0.5,0.889763779527559,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFTERTASTE,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,CASUAL,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,REGULAR,M81_FREQUENCY_MODEL,0.5,1,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,STRONG,M81_FREQUENCY_MODEL,0.5,0.9937106918238994,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,EXPERT,M81_FREQUENCY_MODEL,0.5,0.7440476190476191,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
AFFORDABLE,ORACLE,M81_FREQUENCY_MODEL,0.5,,wordfreq,v3.2,3.1.1,42233e6c36ce792031bcccfa17cdd0cec9af5fa7,zipf-linear-v1,false
