answer,pool_size,candidate_id,reference_mean_score,reference_band,cheap_metric
AFTERTASTE,10,3ef83e52,83.132,easier,5734
AFTERTASTE,10,5484c7c7,82.68,middle,4917
AFTERTASTE,10,45246d00,84.904,easier,5498
AFTERTASTE,10,66f4f81d,81.956,harder,5349
AFTERTASTE,10,c3aa8a56,80.12,harder,4248
AFTERTASTE,10,72119b9b,82.524,middle,5908
AFTERTASTE,10,b986aab4,83.502,easier,6002
AFTERTASTE,10,eaad1e51,82.98,middle,4929
AFTERTASTE,10,ad559a5a,83.404,easier,6580
AFFORDABLE,10,ce541da2,86.054,easier,6000
AFFORDABLE,10,9754f439,84.238,middle,6206
AFFORDABLE,10,c6cea050,84.094,harder,4951
AFFORDABLE,10,da113717,83.996,harder,6685
AFFORDABLE,10,824030a6,78.886,harder,4462
AFFORDABLE,10,61726cad,84.972,easier,6473
AFFORDABLE,10,c7186004,84.53,middle,6149
AFFORDABLE,10,235febab,85.816,easier,4571
AFFORDABLE,10,ae7146ea,84.896,middle,5260
AFFORDABLE,10,40b6ace1,86.838,easier,5464
ABATEMENTS,10,70dea610,81.798,harder,4635
ABATEMENTS,10,dcd979d7,80.47,harder,5517
ABATEMENTS,10,1d1ec662,82.066,harder,5169
ABATEMENTS,10,d62852f9,85.012,easier,6233
ABATEMENTS,10,322acfc4,83.754,easier,6212
ABATEMENTS,10,8e725b6b,82.468,middle,6085
ABATEMENTS,10,a18a5566,83.472,easier,4653
ABATEMENTS,10,acfba26d,83.172,middle,6160
ABATEMENTS,10,2699e498,83.994,easier,5818
ABATEMENTS,10,2d5a90ff,83.242,middle,5290
ABDICATING,10,d6a8a8ff,84.198,easier,6005
ABDICATING,10,cfe7fc98,86.942,easier,5401
ABDICATING,10,38cf6da1,81.378,harder,5280
ABDICATING,10,ef4afaaa,83.26,harder,6089
ABDICATING,10,b741e833,83.914,easier,5490
ABDICATING,10,6b0594cc,83.824,middle,6013
ABDICATING,10,7e829eb5,82.698,harder,5392
ABDICATING,10,40859e2e,84.304,easier,5931
ABDICATING,10,862791d7,83.75,middle,6280
ABDICATING,10,1a2cbe10,83.872,middle,4981
ABDUCTIONS,10,d474a71a,82.63,middle,6323
ABDUCTIONS,10,11cc2b11,81.966,middle,4394
ABDUCTIONS,10,45ee9608,83.634,easier,5223
ABDUCTIONS,10,1afa8f6f,81.662,harder,5756
ABDUCTIONS,10,7a8f2c1e,81.122,harder,6175
ABDUCTIONS,10,7c00ada5,84.34,easier,5671
ABDUCTIONS,10,e120b4fc,81.964,harder,5266
ABDUCTIONS,10,7e24be3,84.396,easier,4777
ABDUCTIONS,10,ac110312,82.148,middle,5368
ABDUCTIONS,10,275f7f29,83.002,easier,5467
ABHORRENCE,10,eeeccc81,82.03,middle,5400
ABHORRENCE,10,fafd088a,84.84,easier,6252
ABHORRENCE,10,d09345f,79.206,harder,3508
ABHORRENCE,10,e8412e78,81.994,middle,5372
ABHORRENCE,10,3f13695,84.3,easier,6071
ABHORRENCE,10,63fc590e,81.87,middle,4901
ABHORRENCE,10,5eaff593,81.076,harder,5767
ABHORRENCE,10,70b45ac,82.284,easier,4323
ABHORRENCE,10,884bbd59,81.768,harder,4823
ABHORRENCE,10,a185f042,86.108,easier,5732
ABOLISHING,10,30fb78e4,84.6,easier,6046
ABOLISHING,10,61b1138b,82.184,harder,5666
ABOLISHING,10,85061c06,84.21,easier,6017
ABOLISHING,10,b7be628d,82.264,harder,5358
ABOLISHING,10,85f8e930,80.378,harder,5002
ABOLISHING,10,ccfad177,83.394,middle,6914
ABOLISHING,10,e56baa82,87.062,easier,5146
ABOLISHING,10,73793a99,82.65,middle,4776
ABOLISHING,10,1b707bec,85.848,easier,5944
ABOLISHING,10,46d61ad3,82.948,middle,4579
ABROGATING,10,f02432d3,83.878,easier,6719
ABROGATING,10,c4be93ec,81.31,harder,5738
ABROGATING,10,f12508d5,81.52,harder,5652
ABROGATING,10,99f11e4e,81.858,middle,5900
ABROGATING,10,be06ab9f,82.982,easier,5835
ABROGATING,10,f1f6e2b8,80.774,harder,5105
ABROGATING,10,806109c1,84.406,easier,5362
ABROGATING,10,30f1cdca,82.32,middle,4742
ABROGATING,10,aff2b8b,84.998,easier,6644
ABROGATING,10,da4990e4,81.67,middle,5138
ABSOLUTISM,10,8ff6ee3e,83.034,easier,5880
ABSOLUTISM,10,ee2afc45,82.986,middle,5180
ABSOLUTISM,10,2e31779c,84.482,easier,6179
ABSOLUTISM,10,660b0103,83.106,easier,4901
ABSOLUTISM,10,3ad3373a,80.836,harder,5262
ABSOLUTISM,10,f138be31,80.782,harder,4159
ABSOLUTISM,10,b3bef9a8,81.318,harder,5274
ABSOLUTISM,10,438a008f,81.646,middle,5197
ABSOLUTISM,10,908adc36,81.73,middle,4565
ABSOLUTISM,10,8abcf87d,84.78,easier,6337
ABSOLUTIST,10,9b431735,82.858,easier,5963
ABSOLUTIST,10,5d4616ae,83.596,easier,6277
ABSOLUTIST,10,d40260b3,82.24,middle,5390
ABSOLUTIST,10,87c60d4c,81.31,harder,6067
ABSOLUTIST,10,558fe621,82.472,middle,5236
ABSOLUTIST,10,c0b732a,82.58,middle,5422
ABSOLUTIST,10,f369217f,81.542,harder,5856
ABSOLUTIST,10,eca87518,78.45,harder,4208
ABSOLUTIST,10,730a32ed,83.64,easier,5319
ABSOLUTIST,10,6798e5e6,82.888,easier,5371
ABSORPTION,10,ddb211c8,83.268,middle,5446
ABSORPTION,10,3dbe072f,85.062,easier,6856
ABSORPTION,10,e47999da,82.408,harder,5528
ABSORPTION,10,21d11dd1,83.434,middle,5623
ABSORPTION,10,f125a7bc,84.068,easier,6519
ABSORPTION,10,46ed8aa3,83.074,middle,5204
ABSORPTION,10,e61396de,82.428,harder,5538
ABSORPTION,10,e7851865,82.256,harder,4640
ABSORPTION,10,7c486c80,84.654,easier,5273
ABSORPTION,10,8ba8c747,85.808,easier,6617
ABSTAINING,10,68048d17,85.002,easier,6836
ABSTAINING,10,54c1f650,81.36,harder,5731
ABSTAINING,10,25484a39,84.98,easier,6764
ABSTAINING,10,5c4773a2,80.948,harder,5038
ABSTAINING,10,b15341ab,84.184,easier,6177
ABSTAINING,10,550bb604,80.59,harder,5358
ABSTAINING,10,ef65c2ad,83.332,middle,5252
ABSTAINING,10,103386a6,82.74,middle,6454
ABSTAINING,10,23c24b3f,81.948,middle,5665
ABSTAINING,10,edfb52d8,86.546,easier,6340
ABSTENTION,10,68042187,83.608,easier,4991
ABSTENTION,10,58a3c6c0,81.29,harder,6413
ABSTENTION,10,16870729,81.588,middle,4255
ABSTENTION,10,9b388b12,84.002,easier,6156
ABSTENTION,10,fd58345b,83.014,middle,5906
ABSTENTION,10,188e3274,83.37,easier,6628
ABSTENTION,10,3e3df6dd,83.254,middle,5081
ABSTENTION,10,1fead716,80.814,harder,5627
ABSTENTION,10,a22176f,80.226,harder,4524
ABSTENTION,10,35161e08,83.984,easier,6549
ABSTINENCE,10,80995ff8,80.292,harder,5774
ABSTINENCE,10,a56165df,84.254,easier,7726
ABSTINENCE,10,93553a0a,79.412,harder,5007
ABSTINENCE,10,8744fe01,80.804,middle,5304
ABSTINENCE,10,9f63772c,79.742,harder,5297
ABSTINENCE,10,f7082713,81.842,easier,5687
ABSTINENCE,10,fc548a8e,80.994,middle,5481
ABSTINENCE,10,9c496815,83.648,easier,6248
ABSTINENCE,10,6aa7170,80.554,middle,4830
ABSTINENCE,10,216d48b7,86.026,easier,5091
ABYSSINIAN,10,1a912089,79.622,harder,4675
ABYSSINIAN,10,973349f2,80.358,harder,5009
ABYSSINIAN,10,478ce967,80.638,middle,4722
ABYSSINIAN,10,502ecfa0,83.938,easier,5162
ABYSSINIAN,10,43efbb3d,84.834,easier,6632
ABYSSINIAN,10,ceb4ecf6,80.006,harder,3715
ABYSSINIAN,10,1fdf39bb,82.604,easier,5585
ABYSSINIAN,10,9fa54554,82.574,middle,4966
ABYSSINIAN,10,aa6b80f1,85.134,easier,5530
ABYSSINIAN,10,c4ffadfa,82.532,middle,5188
ACCELERANT,10,90ad7842,81.018,harder,4985
ACCELERANT,10,77734559,80.744,harder,5886
ACCELERANT,10,5d79c7f0,83.266,easier,5726
ACCELERANT,10,783c9f37,82.052,middle,4874
ACCELERANT,10,d4c871c6,86.05,easier,7823
ACCELERANT,10,72f77a4d,82.216,easier,4997
ACCELERANT,10,547ebda4,81.076,middle,6545
ACCELERANT,10,a2ba64b,82.754,easier,4949
ACCELERANT,10,ea24908a,82.144,middle,4586
ACCELERANT,10,de145481,80.402,harder,4740
ACCEPTABLE,10,e0d3fafb,82.472,middle,4873
ACCEPTABLE,10,8fa05294,81.264,harder,4817
ACCEPTABLE,10,79e4807d,83.346,easier,5562
ACCEPTABLE,10,7fb26436,87.012,easier,6178
ACCEPTABLE,10,63c707a7,83.308,middle,5102
ACCEPTABLE,10,b86b53e0,85.934,easier,7295
ACCEPTABLE,10,a8c2dc9,81.79,harder,5786
ACCEPTABLE,10,c25a532,81.308,harder,4016
ACCEPTABLE,10,55328903,83.312,middle,5462
ACCEPTABLE,10,1d58ff9c,83.934,easier,5136
ACCIDENTAL,10,201e3ecc,81.806,middle,5830
ACCIDENTAL,10,6c5a9233,79.844,harder,4949
ACCIDENTAL,10,f59e482e,81.3,harder,4788
ACCIDENTAL,10,339b48b5,81.966,middle,5744
ACCIDENTAL,10,8500a698,81.866,middle,6523
ACCIDENTAL,10,8bc152ff,82.018,easier,4435
ACCIDENTAL,10,a463a4aa,82.712,easier,5383
ACCIDENTAL,10,ede817a1,80.15,harder,5405
ACCIDENTAL,10,909191c4,83.322,easier,5641
ACCIDENTAL,10,ecd91d6b,82.696,easier,5042
ACCLAIMING,10,e76ea05d,80.98,harder,4941
ACCLAIMING,10,c91b8096,82.308,middle,4503
ACCLAIMING,10,a688dddb,82.452,middle,5532
ACCLAIMING,10,c1bedbf4,84.052,easier,6822
ACCLAIMING,10,bfb7b0a9,83.608,easier,5253
ACCLAIMING,10,44693492,80.372,harder,5051
ACCLAIMING,10,1134cb07,81.972,harder,5664
ACCLAIMING,10,1d47040,82.018,middle,5226
ACCLAIMING,10,1458df25,83.462,easier,5380
ACCLAIMING,10,12e75d9e,83.86,easier,5662
ACCLIMATED,10,56c06de6,80.488,harder,4489
ACCLIMATED,10,6231baed,83.686,easier,4758
ACCLIMATED,10,e760e844,83.516,easier,6893
ACCLIMATED,10,43a873eb,81.174,middle,5733
ACCLIMATED,10,d254dee2,81.958,middle,5389
ACCLIMATED,10,8b5e6b79,83.062,easier,5622
ACCLIMATED,10,2614be90,80.776,harder,3793
ACCLIMATED,10,920f9257,82.198,easier,5268
ACCLIMATED,10,4c6d9eae,81.316,middle,4887
ACCLIMATED,10,8a6a9f35,79.874,harder,4903
ACCORDIONS,10,fc060b2f,79.404,harder,4927
ACCORDIONS,10,9bfa15c8,83.294,easier,5824
ACCORDIONS,10,e01921d1,83.992,easier,5857
ACCORDIONS,10,a2c19dda,83.698,easier,5647
ACCORDIONS,10,5358ea3,81.896,middle,5181
ACCORDIONS,10,af6dabbc,84.01,easier,6404
ACCORDIONS,10,a5cd1c65,82.598,middle,6169
ACCORDIONS,10,a45b9ade,81.454,harder,4662
ACCORDIONS,10,49f0cb47,83.254,middle,6108
ACCORDIONS,10,3a907080,81.712,harder,4659
ACCOUNTANT,10,4d22780,80.58,harder,4186
ACCOUNTANT,10,14328247,83.65,easier,6446
ACCOUNTANT,10,fea5f8d2,86.104,easier,7044
ACCOUNTANT,10,f235ebe9,82.212,middle,5170
ACCOUNTANT,10,79346534,81.904,middle,4515
ACCOUNTANT,10,31bf561b,84.802,easier,6333
ACCOUNTANT,10,835844d6,82.386,middle,5958
ACCOUNTANT,10,26a2b29d,79.708,harder,4254
ACCOUNTANT,10,663bccc8,81.796,harder,5548
ACCOUNTANT,10,c647c22f,83.448,easier,6021
