answer,method,low_runs,shortlist_size,recall,zero_recall,winner_recall,runtime_ms
ABDUCTIONS,low_mean,100,5,1,false,true,2961.5512142
ABDUCTIONS,low_median,100,5,1,false,true,2961.5512142
ABDUCTIONS,low_gold,100,5,0.3333333333333333,false,false,2961.5512142
ABDUCTIONS,band_aware,100,5,1,false,true,2961.5512142
ABDUCTIONS,confidence_aware,100,5,1,false,true,2961.5512142
ABDUCTIONS,hybrid_regular_cheap,100,5,1,false,true,2961.5512142
ABHORRENCE,M9_math_only,,5,1,false,true,898.23932
ABHORRENCE,low_mean,100,5,1,false,true,2841.4759996000003
ABHORRENCE,low_median,100,5,0.6666666666666666,false,true,2841.4759996000003
ABHORRENCE,low_gold,100,5,1,false,true,2841.4759996000003
ABHORRENCE,band_aware,100,5,1,false,true,2841.4759996000003
ABHORRENCE,confidence_aware,100,5,1,false,true,2841.4759996000003
ABHORRENCE,hybrid_regular_cheap,100,5,1,false,true,2841.4759996000003
ABOLISHING,M9_math_only,,5,0,true,false,1015.811601
ABOLISHING,low_mean,100,5,0.6666666666666666,false,true,2982.069954
ABOLISHING,low_median,100,5,0.6666666666666666,false,true,2982.069954
ABOLISHING,low_gold,100,5,0.3333333333333333,false,true,2982.069954
ABOLISHING,band_aware,100,5,0.6666666666666666,false,true,2982.069954
ABOLISHING,confidence_aware,100,5,0.6666666666666666,false,true,2982.069954
ABOLISHING,hybrid_regular_cheap,100,5,0.6666666666666666,false,true,2982.069954
ABROGATING,M9_math_only,,5,0.3333333333333333,false,false,1010.933244
ABROGATING,low_mean,100,5,1,false,true,2960.5763744
ABROGATING,low_median,100,5,1,false,true,2960.5763744
ABROGATING,low_gold,100,5,0.6666666666666666,false,true,2960.5763744
ABROGATING,band_aware,100,5,1,false,true,2960.5763744
ABROGATING,confidence_aware,100,5,1,false,true,2960.5763744
ABROGATING,hybrid_regular_cheap,100,5,1,false,true,2960.5763744
ABSOLUTISM,M9_math_only,,5,0.6666666666666666,false,false,1031.07684
ABSOLUTISM,low_mean,100,5,1,false,true,2937.1275119999996
ABSOLUTISM,low_median,100,5,0.6666666666666666,false,true,2937.1275119999996
ABSOLUTISM,low_gold,100,5,1,false,true,2937.1275119999996
ABSOLUTISM,band_aware,100,5,1,false,true,2937.1275119999996
ABSOLUTISM,confidence_aware,100,5,1,false,true,2937.1275119999996
ABSOLUTISM,hybrid_regular_cheap,100,5,1,false,true,2937.1275119999996
ABSOLUTIST,M9_math_only,,5,0.6666666666666666,false,false,1045.987312
ABSOLUTIST,low_mean,100,5,1,false,true,2957.160093
ABSOLUTIST,low_median,100,5,0.6666666666666666,false,false,2957.160093
ABSOLUTIST,low_gold,100,5,0.6666666666666666,false,true,2957.160093
ABSOLUTIST,band_aware,100,5,1,false,true,2957.160093
ABSOLUTIST,confidence_aware,100,5,1,false,true,2957.160093
ABSOLUTIST,hybrid_regular_cheap,100,5,1,false,true,2957.160093
ABSORPTION,M9_math_only,,5,0.6666666666666666,false,true,993.90935
ABSORPTION,low_mean,100,5,1,false,true,2897.3777704
ABSORPTION,low_median,100,5,0.6666666666666666,false,false,2897.3777704
ABSORPTION,low_gold,100,5,0.3333333333333333,false,false,2897.3777704
ABSORPTION,band_aware,100,5,1,false,true,2897.3777704
ABSORPTION,confidence_aware,100,5,1,false,true,2897.3777704
ABSORPTION,hybrid_regular_cheap,100,5,1,false,true,2897.3777704
ABSTAINING,M9_math_only,,5,0.3333333333333333,false,false,1174.873538
ABSTAINING,low_mean,100,5,0.6666666666666666,false,false,3131.6376362
ABSTAINING,low_median,100,5,0.6666666666666666,false,true,3131.6376362
ABSTAINING,low_gold,100,5,1,false,true,3131.6376362
ABSTAINING,band_aware,100,5,0.6666666666666666,false,false,3131.6376362
ABSTAINING,confidence_aware,100,5,0.6666666666666666,false,false,3131.6376362
ABSTAINING,hybrid_regular_cheap,100,5,0.6666666666666666,false,false,3131.6376362
ABSTENTION,M9_math_only,,5,0.6666666666666666,false,true,1041.253388
ABSTENTION,low_mean,100,5,0.6666666666666666,false,true,2937.5551612
ABSTENTION,low_median,100,5,0.3333333333333333,false,false,2937.5551612
ABSTENTION,low_gold,100,5,0.6666666666666666,false,true,2937.5551612
ABSTENTION,band_aware,100,5,0.3333333333333333,false,false,2937.5551612
ABSTENTION,confidence_aware,100,5,0.6666666666666666,false,true,2937.5551612
ABSTENTION,hybrid_regular_cheap,100,5,0.6666666666666666,false,true,2937.5551612
ABSTINENCE,M9_math_only,,5,0.6666666666666666,false,true,1020.915034
ABSTINENCE,low_mean,100,5,0.6666666666666666,false,true,2989.3118728
ABSTINENCE,low_median,100,5,0.6666666666666666,false,false,2989.3118728
ABSTINENCE,low_gold,100,5,0.6666666666666666,false,true,2989.3118728
ABSTINENCE,band_aware,100,5,0.6666666666666666,false,true,2989.3118728
ABSTINENCE,confidence_aware,100,5,0.6666666666666666,false,true,2989.3118728
ABSTINENCE,hybrid_regular_cheap,100,5,0.6666666666666666,false,true,2989.3118728
ABYSSINIAN,M9_math_only,,5,1,false,true,1013.413339
ABYSSINIAN,low_mean,100,5,0.6666666666666666,false,true,2963.7349266
ABYSSINIAN,low_median,100,5,0.6666666666666666,false,true,2963.7349266
ABYSSINIAN,low_gold,100,5,0.6666666666666666,false,true,2963.7349266
ABYSSINIAN,band_aware,100,5,0.6666666666666666,false,true,2963.7349266
ABYSSINIAN,confidence_aware,100,5,0.6666666666666666,false,true,2963.7349266
ABYSSINIAN,hybrid_regular_cheap,100,5,0.6666666666666666,false,true,2963.7349266
ACCELERANT,M9_math_only,,5,0.3333333333333333,false,true,1028.150802
ACCELERANT,low_mean,100,5,0.6666666666666666,false,true,3012.9825772000004
ACCELERANT,low_median,100,5,0.3333333333333333,false,true,3012.9825772000004
ACCELERANT,low_gold,100,5,0.6666666666666666,false,true,3012.9825772000004
ACCELERANT,band_aware,100,5,0.6666666666666666,false,true,3012.9825772000004
ACCELERANT,confidence_aware,100,5,0.6666666666666666,false,true,3012.9825772000004
ACCELERANT,hybrid_regular_cheap,100,5,0.6666666666666666,false,true,3012.9825772000004
ACCEPTABLE,M9_math_only,,5,1,false,true,967.23108
ACCEPTABLE,low_mean,100,5,1,false,true,2999.6784622
ACCEPTABLE,low_median,100,5,0.6666666666666666,false,true,2999.6784622
ACCEPTABLE,low_gold,100,5,0.6666666666666666,false,true,2999.6784622
ACCEPTABLE,band_aware,100,5,1,false,true,2999.6784622
ACCEPTABLE,confidence_aware,100,5,1,false,true,2999.6784622
ACCEPTABLE,hybrid_regular_cheap,100,5,1,false,true,2999.6784622
ACCIDENTAL,M9_math_only,,5,0,true,false,1003.166712
ACCIDENTAL,low_mean,100,5,0.3333333333333333,false,true,3014.6485174000004
ACCIDENTAL,low_median,100,5,0.6666666666666666,false,true,3014.6485174000004
ACCIDENTAL,low_gold,100,5,0.6666666666666666,false,true,3014.6485174000004
ACCIDENTAL,band_aware,100,5,0.3333333333333333,false,true,3014.6485174000004
ACCIDENTAL,confidence_aware,100,5,0.3333333333333333,false,true,3014.6485174000004
ACCIDENTAL,hybrid_regular_cheap,100,5,0.3333333333333333,false,true,3014.6485174000004
ACCLAIMING,M9_math_only,,5,0.6666666666666666,false,false,1020.751369
ACCLAIMING,low_mean,100,5,1,false,true,3095.575213
ACCLAIMING,low_median,100,5,0.3333333333333333,false,false,3095.575213
ACCLAIMING,low_gold,100,5,0.3333333333333333,false,true,3095.575213
ACCLAIMING,band_aware,100,5,1,false,true,3095.575213
ACCLAIMING,confidence_aware,100,5,1,false,true,3095.575213
ACCLAIMING,hybrid_regular_cheap,100,5,1,false,true,3095.575213
ACCLIMATED,M9_math_only,,5,0.6666666666666666,false,true,1035.508513
ACCLIMATED,low_mean,100,5,0.3333333333333333,false,false,2961.2264692000003
ACCLIMATED,low_median,100,5,0.6666666666666666,false,true,2961.2264692000003
ACCLIMATED,low_gold,100,5,0,true,false,2961.2264692000003
ACCLIMATED,band_aware,100,5,0.3333333333333333,false,false,2961.2264692000003
ACCLIMATED,confidence_aware,100,5,0.3333333333333333,false,false,2961.2264692000003
ACCLIMATED,hybrid_regular_cheap,100,5,0.3333333333333333,false,false,2961.2264692000003
ACCORDIONS,M9_math_only,,5,0.3333333333333333,false,false,1053.127009
ACCORDIONS,low_mean,100,5,0.3333333333333333,false,false,2980.3501063999997
ACCORDIONS,low_median,100,5,0.6666666666666666,false,false,2980.3501063999997
ACCORDIONS,low_gold,100,5,0.3333333333333333,false,false,2980.3501063999997
ACCORDIONS,band_aware,100,5,0.3333333333333333,false,false,2980.3501063999997
ACCORDIONS,confidence_aware,100,5,0.3333333333333333,false,false,2980.3501063999997
ACCORDIONS,hybrid_regular_cheap,100,5,0.3333333333333333,false,false,2980.3501063999997
ACCOUNTANT,M9_math_only,,5,1,false,true,869.218427
ACCOUNTANT,low_mean,100,5,0.6666666666666666,false,false,3090.3691186
ACCOUNTANT,low_median,100,5,0.3333333333333333,false,false,3090.3691186
ACCOUNTANT,low_gold,100,5,0.3333333333333333,false,true,3090.3691186
ACCOUNTANT,band_aware,100,5,0.6666666666666666,false,false,3090.3691186
ACCOUNTANT,confidence_aware,100,5,0.6666666666666666,false,false,3090.3691186
ACCOUNTANT,hybrid_regular_cheap,100,5,0.6666666666666666,false,false,3090.3691186
